Date,Open,High,Low,Close,Adj Close,Volume,Name
18 March 2021,594.299988,601.400024,575.5,578.349976,573.223022,677178,ICICBANK
19 March 2021,575,588.900024,569.799988,586.5,581.300781,829218,ICICBANK
22 March 2021,587.75,587.75,569.599976,573.400024,568.316956,715176,ICICBANK
23 March 2021,577.900024,589.25,574.650024,586.299988,581.1026,2419610,ICICBANK
24 March 2021,580.650024,580.650024,565,567.450012,562.419678,593927,ICICBANK
25 March 2021,569,579,557.200012,571.400024,566.334717,763228,ICICBANK
26 March 2021,582.200012,583.700012,574.599976,578.549988,573.421265,1092574,ICICBANK
30 March 2021,580.900024,592.900024,580.900024,591.349976,586.107788,940329,ICICBANK
31 March 2021,588,589.75,579.099976,581.25,576.097351,1272127,ICICBANK
01 April 2021,587.700012,596.099976,580.349976,593.950012,588.684753,758795,ICICBANK
05 April 2021,593,593,563.599976,571.150024,566.086914,860492,ICICBANK
06 April 2021,572.5,578.25,564.400024,565.950012,560.932983,601725,ICICBANK
07 April 2021,568.400024,580,560,577.549988,572.430176,1332613,ICICBANK
08 April 2021,581.700012,585.75,573.25,576.75,571.637268,3042430,ICICBANK
09 April 2021,574.5,579.150024,565.049988,566.450012,561.428528,834558,ICICBANK
12 April 2021,548.650024,551.799988,531.25,538.400024,533.627258,1419739,ICICBANK
13 April 2021,539.25,563.700012,538,560.450012,555.48175,578306,ICICBANK
15 April 2021,564.200012,577,554.349976,575.5,570.398315,2126711,ICICBANK
16 April 2021,575,577.5,564,566.599976,561.577209,654732,ICICBANK
19 April 2021,559.650024,562.349976,531,559.599976,554.639282,956804,ICICBANK
20 April 2021,564.700012,572.549988,552.650024,559,554.044617,664817,ICICBANK
22 April 2021,552.799988,580.400024,547.049988,579.150024,574.015991,1666033,ICICBANK
23 April 2021,573.900024,580.400024,567.150024,570.049988,564.996582,960827,ICICBANK
26 April 2021,600.299988,604.900024,587.75,590.75,585.513123,3104237,ICICBANK
27 April 2021,592.099976,601.799988,591.099976,598.799988,593.49176,518826,ICICBANK
28 April 2021,590.150024,622.650024,590.150024,621.099976,615.594055,1638154,ICICBANK
29 April 2021,623.450012,628.450012,609,621.25,615.742798,911300,ICICBANK
30 April 2021,609.200012,617,598.200012,600.400024,595.077637,769431,ICICBANK
03 May 2021,597.400024,598.950012,587.450012,597,591.707703,624577,ICICBANK
04 May 2021,597,608,589,591.549988,586.30603,749806,ICICBANK
05 May 2021,596,604.25,584.75,602.650024,597.307678,740049,ICICBANK
06 May 2021,604.900024,610,599.349976,608.650024,603.254517,382306,ICICBANK
07 May 2021,612,614.700012,603.75,606.75,601.371277,444307,ICICBANK
10 May 2021,608.599976,617.099976,608.599976,613.099976,607.664978,491857,ICICBANK
11 May 2021,607.5,612.799988,603.650024,609.75,604.344666,447696,ICICBANK
12 May 2021,604.700012,606.599976,593.599976,594.950012,589.675903,553754,ICICBANK
14 May 2021,593.5,601.650024,592,597.25,591.955566,1363325,ICICBANK
17 May 2021,602.299988,624,601.049988,623.599976,618.071899,772371,ICICBANK
18 May 2021,627.049988,635.5,626.349976,633.099976,627.487732,631543,ICICBANK
19 May 2021,626.900024,633.799988,623.450012,625.25,619.707336,580060,ICICBANK
20 May 2021,627,632.900024,616.650024,618.549988,613.066711,437996,ICICBANK
21 May 2021,623.700012,644,623.150024,642.450012,636.754822,1143502,ICICBANK
24 May 2021,644.25,653.450012,638.150024,647.799988,642.057373,853378,ICICBANK
25 May 2021,650,651.950012,642.299988,649.799988,644.039673,1511224,ICICBANK
26 May 2021,651.700012,656.599976,643.450012,652.549988,646.765259,507760,ICICBANK
27 May 2021,651.200012,656.450012,648.25,652.700012,646.914001,888756,ICICBANK
28 May 2021,656,660,639.349976,643.200012,637.49823,541693,ICICBANK
31 May 2021,643.150024,664.900024,643.150024,662.200012,656.329712,1359723,ICICBANK
01 June 2021,663.349976,664.650024,648.299988,650.25,644.485657,592966,ICICBANK
02 June 2021,648.900024,649.299988,641.150024,648.349976,642.602539,735299,ICICBANK
03 June 2021,654,654.950012,644.799988,650.200012,644.436157,596720,ICICBANK
04 June 2021,653.549988,654.849976,639.349976,642.799988,637.101746,464034,ICICBANK
07 June 2021,644.200012,649.75,644.200012,648.25,642.503479,533638,ICICBANK
08 June 2021,647.25,647.5,637.5,642.400024,636.705322,483089,ICICBANK
09 June 2021,642.5,645.5,629.099976,635.950012,630.312439,882450,ICICBANK
10 June 2021,640,642.25,630.75,640.150024,634.47522,641610,ICICBANK
11 June 2021,643.349976,644,631.75,635.599976,629.965576,447959,ICICBANK
14 June 2021,636,636,623.400024,635.099976,629.469971,489814,ICICBANK
15 June 2021,635.200012,646,635.200012,645.049988,639.331787,309458,ICICBANK
16 June 2021,645.900024,649,637.549988,639.950012,634.277039,515658,ICICBANK
17 June 2021,633,637.549988,627,632.5,626.893005,403209,ICICBANK
18 June 2021,637,637,620.75,630.25,624.662964,608458,ICICBANK
21 June 2021,625,632.799988,616.400024,631.049988,625.455872,541001,ICICBANK
22 June 2021,634.200012,643.900024,629.5,630.599976,625.009827,320184,ICICBANK
23 June 2021,633.299988,634.950012,623.400024,624.549988,619.013489,245993,ICICBANK
24 June 2021,626.099976,636,625,633.799988,628.181458,471171,ICICBANK
25 June 2021,636,650,635.950012,648.650024,642.899841,761377,ICICBANK
28 June 2021,650.25,653,644.700012,650.099976,644.337036,504765,ICICBANK
29 June 2021,648.549988,648.549988,636.5,640.200012,634.52478,403852,ICICBANK
30 June 2021,640.400024,640.650024,629.849976,630.849976,625.25769,422822,ICICBANK
01 July 2021,632.950012,637.299988,630,630.650024,625.059448,248162,ICICBANK
02 July 2021,631.299988,641.200012,631.299988,640.299988,634.62384,368130,ICICBANK
05 July 2021,642.950012,648.299988,641.25,647.650024,641.908752,355471,ICICBANK
06 July 2021,645.200012,655,645.200012,650.549988,644.78302,266356,ICICBANK
07 July 2021,649.049988,654.5,645.950012,653.650024,647.855591,290443,ICICBANK
08 July 2021,651,653.650024,638.299988,641.700012,636.011536,358907,ICICBANK
09 July 2021,641.700012,641.700012,633.849976,638.650024,632.988586,197272,ICICBANK
12 July 2021,645.099976,650.25,642.400024,646.299988,640.570679,2535943,ICICBANK
13 July 2021,655,665.849976,652.799988,664.599976,658.708435,1382884,ICICBANK
14 July 2021,662.900024,667.549988,658.25,664.099976,658.212891,253372,ICICBANK
15 July 2021,661.549988,669.5,661.099976,667.299988,661.384521,160133,ICICBANK
16 July 2021,665.599976,667.450012,657.799988,660.25,654.397034,186710,ICICBANK
19 July 2021,642.200012,656.950012,642.200012,656.049988,650.234253,2417305,ICICBANK
20 July 2021,650,651.25,639.400024,642,636.308838,357117,ICICBANK
22 July 2021,652,660.099976,649.200012,655.799988,649.986511,287117,ICICBANK
23 July 2021,656.5,677.75,650.849976,676.650024,670.651733,524077,ICICBANK
26 July 2021,681,687.799988,663.900024,676.75,670.750793,730024,ICICBANK
27 July 2021,681,685.599976,673.299988,677.650024,671.642822,213733,ICICBANK
28 July 2021,678.650024,687.25,670.299988,685.299988,679.224976,611433,ICICBANK
29 July 2021,693,693,683.150024,687.400024,683.300537,435418,ICICBANK
30 July 2021,688.450012,688.450012,678.099976,682.700012,678.62854,221293,ICICBANK
02 August 2021,682.700012,688,677.700012,681.549988,677.485413,299131,ICICBANK
03 August 2021,681.549988,691.799988,676.849976,690.049988,685.934692,368299,ICICBANK
04 August 2021,694,717.299988,693.200012,714.75,710.487427,869182,ICICBANK
05 August 2021,715.200012,716.75,699.549988,702.099976,697.912842,394241,ICICBANK
